Word,Audio_file,Image_file,Condition,Image_file2,Duration,Group,Correct_response
Livre,Stimuli_1.mp3,Stimuli_1.png,imaginable,Stimuli_1_2.png,2000,B,Image_file
Bébé,Stimuli_2.mp3,Stimuli_2.png,imaginable,Stimuli_2_2.png,2000,B,Image_file
Jeu,Stimuli_3.mp3,Stimuli_3.png,imaginable,Stimuli_3_2.png,2000,B,Image_file
Roi,Stimuli_4.mp3,Stimuli_4.png,imaginable,Stimuli_4_2.png,2000,B,Image_file
Verre,Stimuli_5.mp3,Stimuli_5.png,imaginable,Stimuli_5_2.png,2000,B,Image_file
Esprit,Stimuli_6.mp3,Stimuli_6.png,non_imaginable,Stimuli_6_2.png,2000,C,Image_file
Âme,Stimuli_7.mp3,Stimuli_7.png,non_imaginable,Stimuli_7_2.png,2000,C,Image_file
Confiance,Stimuli_8.mp3,Stimuli_8.png,non_imaginable,Stimuli_8_2.png,2000,C,Image_file
Instant,Stimuli_9.mp3,Stimuli_9.png,non_imaginable,Stimuli_9_2.png,2000,C,Image_file
Vérité,Stimuli_10.mp3,Stimuli_10.png,non_imaginable,Stimuli_10_2.png,2000,C,Image_file
Hôpital,Stimuli_11.mp3,Stimuli_11.png,imaginable,Stimuli_11_2.png,2000,B,Image_file
Cheval,Stimuli_12.mp3,Stimuli_12.png,imaginable,Stimuli_12_2.png,2000,B,Image_file
Jambe,Stimuli_13.mp3,Stimuli_13.png,imaginable,Stimuli_13_2.png,2000,B,Image_file
Bateau,Stimuli_14.mp3,Stimuli_14.png,imaginable,Stimuli_14_2.png,2000,B,Image_file
Avion,Stimuli_15.mp3,Stimuli_15.png,imaginable,Stimuli_15_2.png,2000,B,Image_file
But,Stimuli_16.mp3,Stimuli_16.png,non_imaginable,Stimuli_16_2.png,2000,C,Image_file
Impression,Stimuli_17.mp3,Stimuli_17.png,non_imaginable,Stimuli_17_2.png,2000,C,Image_file
Liberté,Stimuli_18.mp3,Stimuli_18.png,non_imaginable,Stimuli_18_2.png,2000,C,Image_file
Silence,Stimuli_19.mp3,Stimuli_19.png,non_imaginable,Stimuli_19_2.png,2000,C,Image_file
Conseil,Stimuli_20.mp3,Stimuli_20.png,non_imaginable,Stimuli_20_2.png,2000,C,Image_file
Cigarette,Stimuli_21.mp3,Stimuli_21.png,imaginable,Stimuli_21_2.png,2000,B,Image_file
Bombe,Stimuli_22.mp3,Stimuli_22.png,imaginable,Stimuli_22_2.png,2000,B,Image_file
Taxi,Stimuli_23.mp3,Stimuli_23.png,imaginable,Stimuli_23_2.png,2000,B,Image_file
Cerveau,Stimuli_24.mp3,Stimuli_24.png,imaginable,Stimuli_24_2.png,2000,B,Image_file
Monstre,Stimuli_25.mp3,Stimuli_25.png,imaginable,Stimuli_25_2.png,2000,B,Image_file
Demande,Stimuli_26.mp3,Stimuli_26.png,non_imaginable,Stimuli_26_2.png,2000,C,Image_file
Mensonge,Stimuli_27.mp3,Stimuli_27.png,non_imaginable,Stimuli_27_2.png,2000,C,Image_file
Importance,Stimuli_28.mp3,Stimuli_28.png,non_imaginable,Stimuli_28_2.png,2000,C,Image_file
Miracle,Stimuli_29.mp3,Stimuli_29.png,non_imaginable,Stimuli_29_2.png,2000,C,Image_file
Ton,Stimuli_30.mp3,Stimuli_30.png,non_imaginable,Stimuli_30_2.png,2000,C,Image_file
Service,Stimuli_31.mp3,Stimuli_31.png,Control,Stimuli_31_2.png,2000,A,Image_file
Plan,Stimuli_32.mp3,Stimuli_32.png,Control,Stimuli_32_2.png,2000,A,Image_file
Rapport,Stimuli_33.mp3,Stimuli_33.png,Control,Stimuli_33_2.png,2000,A,Image_file
Avis,Stimuli_34.mp3,Stimuli_34.png,Control,Stimuli_34_2.png,2000,A,Image_file
Rêve,Stimuli_35.mp3,Stimuli_35.png,Control,Stimuli_35_2.png,2000,A,Image_file
Voix,Stimuli_36.mp3,Stimuli_36.png,Control,Stimuli_36_2.png,2000,A,Image_file
Million,Stimuli_37.mp3,Stimuli_37.png,Control,Stimuli_37_2.png,2000,A,Image_file
Pouvoir,Stimuli_38.mp3,Stimuli_38.png,Control,Stimuli_38_2.png,2000,A,Image_file
Début,Stimuli_39.mp3,Stimuli_39.png,Control,Stimuli_39_2.png,2000,A,Image_file
Camp,Stimuli_40.mp3,Stimuli_40.png,Control,Stimuli_40_2.png,2000,A,Image_file
Catastrophe,Stimuli_41.mp3,Stimuli_41.png,Control,Stimuli_41_2.png,2000,A,Image_file
Marche,Stimuli_42.mp3,Stimuli_42.png,Control,Stimuli_42_2.png,2000,A,Image_file
Cycle,Stimuli_43.mp3,Stimuli_43.png,Control,Stimuli_43_2.png,2000,A,Image_file
Rencontre,Stimuli_44.mp3,Stimuli_44.png,Control,Stimuli_44_2.png,2000,A,Image_file
Magie,Stimuli_45.mp3,Stimuli_45.png,Control,Stimuli_45_2.png,2000,A,Image_file
